[SAVE] New best avg score: 100.00
Episode 160/50000, Score: 50, Reward: 14.0, Avg: 43.333333333333336, Actor loss: -1.0971, Critic loss: 82.1205, Total loss: 39.9632
Episode 161/50000, Score: 100, Reward: 29.29999999999999, Avg: 49.166666666666664, Actor loss: 0.0265, Critic loss: 216.3903, Total loss: 108.2216
Episode 162/50000, Score: 50, Reward: 9.0, Avg: 50.833333333333336, Actor loss: 0.4108, Critic loss: 35.3574, Total loss: 18.0895
Episode 163/50000, Score: 50, Reward: 9.0, Avg: 49.166666666666664, Actor loss: -2.8708, Critic loss: 42.1712, Total loss: 18.2148
Episode 164/50000, Score: 30, Reward: -0.40000000000000036, Avg: 49.166666666666664, Actor loss: -0.9674, Critic loss: 14.7929, Total loss: 6.4291
Episode 165/50000, Score: 30, Reward: -0.40000000000000036, Avg: 47.5, Actor loss: -0.9861, Critic loss: 14.3862, Total loss: 6.2070
Episode 166/50000, Score: 60, Reward: 7.600000000000005, Avg: 47.5, Actor loss: -8.5031, Critic loss: 73.4409, Total loss: 28.2173
Episode 167/50000, Score: 50, Reward: 14.0, Avg: 47.5, Actor loss: -0.9849, Critic loss: 79.3921, Total loss: 38.7112
Episode 168/50000, Score: 50, Reward: -2.599999999999997, Avg: 49.166666666666664, Actor loss: -11.0804, Critic loss: 94.3578, Total loss: 36.0985
Episode 169/50000, Score: 30, Reward: -2.200000000000001, Avg: 48.333333333333336, Actor loss: -8.4810, Critic loss: 32.2724, Total loss: 7.6551
Episode 170/50000, Score: 100, Reward: 13.400000000000016, Avg: 54.166666666666664, Actor loss: 1.4558, Critic loss: 26.8832, Total loss: 14.8974
Episode 171/50000, Score: 30, Reward: -0.40000000000000036, Avg: 52.5, Actor loss: -0.9258, Critic loss: 13.4211, Total loss: 5.7847
Episode 172/50000, Score: 70, Reward: 18.6, Avg: 54.166666666666664, Actor loss: 2.2470, Critic loss: 123.9692, Total loss: 64.2316
Episode 173/50000, Score: 50, Reward: 9.0, Avg: 50.0, Actor loss: -1.2896, Critic loss: 30.7608, Total loss: 14.0908
Episode 174/50000, Score: 30, Reward: -0.40000000000000036, Avg: 48.333333333333336, Actor loss: -0.9179, Critic loss: 14.4383, Total loss: 6.3012
